angle	angular_velocity	angular_acceleration
5.782988854714171678e-01	9.179941228938761633e-01	-1.569941191381691414e+00
4.655292646053090788e-01	4.945559184441892242e-01	-2.825996348025435978e+00
4.317025841891109494e-01	1.151788405796346559e+00	-5.503093821897024007e+00
4.183112907262716562e-01	1.096952067867774883e+00	-5.101900891475728450e+00
7.400542473367954788e-01	7.758429264500019684e-01	-5.418963902991733583e+00
5.284533193248220906e-01	1.534806690390584649e-01	-3.503507367509659964e+00
4.179459631482553839e-01	4.094588560198951233e-01	-7.992806714421151426e+00
3.220533710514623671e-01	3.833576727198011458e-01	-3.626148108202877918e+00
6.324880096023035581e-01	-4.991183480011907037e-01	-4.263817949510739780e+00
4.040673484732209553e-01	4.761468970427050751e-01	-7.536044032610686116e+00
5.699606434147843625e-01	3.183032089563763711e-01	-3.837385653515046346e+00
6.668869491163811336e-01	2.064271328209675571e-01	-3.700789385392530662e+00
4.456401776276663340e-01	5.614924793114900448e-03	-4.538077063815266321e+00
7.359282318678239676e-01	4.007430239441958641e-02	-5.855665110434538967e+00
5.799487148997537478e-01	9.942523164463950014e-01	-4.865479805538216240e+00
6.532581593501454176e-01	2.110326143905403851e-01	-3.371324218985096710e+00
4.896655783189593492e-01	-9.228317477058484153e-02	-7.776829562439511179e+00
4.456707404618531210e-01	8.070235019015787881e-01	-5.709478613853048223e+00
5.404152707941658473e-01	6.946394991356642512e-01	-7.327032016313681950e+00
2.946381855986757170e-01	-2.149720043394452162e-01	-5.245839257289030222e+00
3.023291898627605834e-01	-3.076792835254192338e-01	-6.151448999245769933e+00
5.891103345707072725e-01	3.946918089318490752e-02	-2.812472258517812573e+00
2.228116543894059220e-01	1.093884080279268645e+00	-3.428747226619906385e+00
5.725425518122654323e-01	-1.231814497150278409e-01	-5.168448966048463156e+00
6.493134929487237583e-01	5.710484849114742800e-02	-4.627995839553163293e+00
8.693995425868360494e-01	-3.299333613969755441e-01	-2.741632502625158008e+00
2.790412097703000027e-01	-2.196658492680068631e-01	-5.522732340995185396e+00
7.670466268891212858e-01	3.439463385590779687e-01	-3.196162155931477677e+00
5.577058329636046530e-01	-1.715879739785015623e-01	-4.320301818998619758e+00
6.440972178610050447e-01	2.674327520465231700e-01	-5.875017668651129732e+00
5.592265738323305424e-01	-9.122271867454296856e-01	-4.413218806136718797e+00
4.058996554551126401e-01	-3.198899323035536701e-02	-5.137474454258933676e+00
3.635085009180816229e-01	5.194273359947332303e-01	-6.939856666816837105e+00
5.807461022184966515e-01	-3.977207977382987703e-01	-3.606905797473755726e+00
3.738688073935708678e-01	-9.739700492669032261e-01	-5.301484721689833535e+00
6.427686218164305743e-01	9.672311355795004673e-01	-5.109850945049684512e+00
6.091759823683843278e-01	-7.565470538161478409e-01	-5.254995317936681509e+00
6.211565175678406270e-01	-1.442991391821754066e-01	-3.235068583714921786e+00
4.361602293645275852e-01	-2.916842118656417515e-01	-4.098314078000814931e+00
5.651094816085941996e-01	9.550648210554579798e-02	-5.827867029849452152e+00
5.584793176418211269e-01	-6.109658882888255871e-01	-2.409582768145943632e+00
3.518423520545883587e-01	-9.303260774444808145e-01	-4.249400798549661573e+00
5.871483454641855948e-01	8.127913791598273541e-02	-4.665310129538553952e+00
6.141645831084400209e-01	-1.187278398184589134e-01	-4.438696132388324500e+00
8.566501744172146937e-01	-1.272009786968790190e-01	-6.902849417041563740e+00
6.605824403099797015e-01	-5.162022425880226084e-01	-7.116128978531873983e+00
3.708312692122704424e-01	1.596273279661555300e-01	-4.408478311705194663e+00
5.828133604134275725e-01	-8.622341305347175355e-01	-5.285263086094891705e+00
3.547741216344889592e-01	-9.013297014838463905e-01	-4.108234991373051592e+00
4.236810250414076995e-01	-1.282684106686502901e+00	-3.796007148752385874e+00
2.742522447215313131e-01	-6.729423852006599649e-01	-4.688314004735008922e+00
3.931724287528476358e-01	-5.307258336545310762e-01	-6.226996659641978127e+00
3.197771309409345175e-01	-8.998287262090493011e-01	-5.325004646196726199e+00
2.654840234623548345e-01	-4.953867240615434930e-01	-4.259025727312200083e+00
6.855504989267118265e-01	-6.181665555169664206e-01	-5.524575624216437220e+00
5.272784048252358025e-01	-6.529140412353930945e-01	-5.003783658860260886e+00
4.683060407723861340e-01	-1.268242946899253543e+00	-3.516411520894447307e+00
1.385731645252112343e-01	-9.585125427169834955e-01	-2.184127803516865640e+00
4.092575707327075762e-01	9.529737716027497640e-03	-6.290780820124306061e+00
3.285171048735491262e-01	-1.452416693886736443e+00	-5.719458856964814153e+00
3.026465896408724321e-01	-8.493333080059933815e-01	-5.434956902964042769e+00
4.473039172796231533e-01	-4.983157066001606683e-01	-2.996164958139913903e+00
3.898853631212590987e-01	-8.179830408166356426e-01	-5.622409191613153112e+00
4.228064734120984824e-01	-1.546734036211618424e+00	-4.519190697224565234e+00
4.299891082184235103e-01	-1.320592340424197486e+00	-7.608323990961865846e+00
2.184145799036271152e-01	-1.017858021162268090e+00	-3.082509565907411542e+00
4.029032988718971864e-01	-1.209757173155712184e+00	-4.698818411881241275e+00
3.765859021635586390e-01	-1.328382573228926722e+00	-6.115328190114352580e+00
2.650031411977750162e-01	-9.764965906447427013e-01	-5.064985433255734470e+00
4.259510162950443379e-01	1.088269646893706977e-01	-3.641788218329286675e+00
4.330559747084844480e-01	-1.034904039828695055e+00	-3.172013973661225172e+00
2.206047247250753629e-01	-7.983302440562033420e-01	-3.200755038193018098e+00
4.550119738002387781e-01	-1.458513599369142488e+00	-4.970061001109382204e+00
3.043269866783453459e-01	-8.626763982663090413e-01	-3.863271852061864742e+00
3.657843062374728227e-01	-7.426573126455027207e-02	-3.256491039925874631e+00
2.352305245339191275e-01	-1.216181582504205272e+00	-1.285519814416106188e+00
2.180148566936022936e-01	-2.299496786000880810e+00	-3.809220980046067684e+00
3.682081241966627672e-01	-1.574598525206098998e+00	-4.640820959144951630e+00
1.969244552370985057e-01	-1.228285420434805708e+00	-1.456070220724978492e+00
2.585585428750645232e-01	-7.400974167358141953e-01	-2.322281372006514744e+00
7.508165009073386464e-02	-1.226611636293731156e+00	-4.299941173866132615e+00
4.184307328088570088e-01	-1.329916495911682262e+00	7.552382071119381202e-01
4.261867416551875509e-01	-7.761622277184021534e-01	-3.782532003117212938e+00
1.897230109038582080e-01	-1.038340091306016566e+00	-2.559252409401395756e+00
6.261858027011432126e-01	-1.472507423254028724e+00	-2.733541397588702626e+00
5.106546697177737348e-01	-1.212074784458487597e+00	-2.237994939269526640e+00
1.018990712493926531e-01	-1.449876725968077595e+00	-1.729952750753713575e+00
2.935487073253419954e-01	-1.227923662823620532e+00	-6.300898626122108936e-02
3.358006929323016365e-01	-1.122291227441977401e+00	-1.966986452941396291e+00
3.741555708519445633e-01	-1.562593773648413009e+00	-3.654471955518320936e+00
2.519909213296011030e-01	-1.925142843465817100e+00	-2.574404424486336218e-01
1.301131673846614156e-01	-1.682713538978954038e+00	-2.023073066808021903e+00
5.579773115351177593e-01	-1.133944684396854807e+00	-3.513797366884745976e+00
2.065620928499459219e-01	-1.913444109807405535e+00	-2.365410128348471197e+00
1.911126614589099548e-01	-8.891549351003861235e-01	-6.650315353289377729e-01
1.882428724788096641e-01	-1.367442967837783963e+00	-2.442771156947419531e+00
2.003197540585291148e-01	-1.865779985503580596e+00	-3.354195291964778392e+00
