theta1	omega1	alpha1	theta2	omega2	alpha2
-3.360190136942061034e+00	-2.739013595875723794e+00	5.938047773800235518e+00	-1.310793255494748522e+01	-5.626123928200582824e+00	1.155683267198082831e+01
-3.373798633122626178e+00	-2.709254989818829173e+00	5.972754802976623978e+00	-1.313589303144852316e+01	-5.568010052582434533e+00	1.170372065345600276e+01
-3.387258113584316721e+00	-2.679368639660008711e+00	5.989393907778776338e+00	-1.316356150216972409e+01	-5.509242890532969561e+00	1.181875134209985845e+01
-3.400568160570700993e+00	-2.649441951673952023e+00	5.989112954442362025e+00	-1.319093509188003921e+01	-5.449976394639061361e+00	1.190401162044418015e+01
-3.413728779071251829e+00	-2.619556572977983055e+00	5.973063675325647637e+00	-1.321801166929161830e+01	-5.390354092100999139e+00	1.196157612823526506e+01
-3.426740367349870198e+00	-2.589788375082557881e+00	5.942404373170347753e+00	-1.324478979384235799e+01	-5.330509141679860008e+00	1.199351755378438611e+01
-3.439603688255670644e+00	-2.560207508984283287e+00	5.898267631099088248e+00	-1.327126866444024245e+01	-5.270564514240353660e+00	1.200184381708004366e+01
-3.452319841257221356e+00	-2.530878497715639774e+00	5.841766682740399119e+00	-1.329744806984052019e+01	-5.210633234628993193e+00	1.198851473862305284e+01
-3.464890234088604082e+00	-2.501860417203995990e+00	5.773975248224132883e+00	-1.332332833874214728e+01	-5.150818784142817464e+00	1.195540402175493000e+01
-3.477316556699898253e+00	-2.473207061344833591e+00	5.695925507515312347e+00	-1.334891029433159026e+01	-5.091215459280726385e+00	1.190429831450046549e+01
-3.489600754812057115e+00	-2.444967189887320203e+00	5.608606790846806689e+00	-1.337419520848967380e+01	-5.031908881399278499e+00	1.183689625628903741e+01
-3.501745005798114097e+00	-2.417184750386265346e+00	5.512950769551252961e+00	-1.339918476040124951e+01	-4.972976445063062023e+00	1.175478248490526312e+01
-3.513751694745609111e+00	-2.389899161985513221e+00	5.409843005345010170e+00	-1.342388099583759775e+01	-4.914487876328813343e+00	1.165945071099440611e+01
-3.525623393160969510e+00	-2.363145538773672616e+00	5.300119455262802148e+00	-1.344828629117455598e+01	-4.856505668408702903e+00	1.155229972195593291e+01
-3.537362838256757680e+00	-2.336954964047693650e+00	5.184553386964353194e+00	-1.347240331887084430e+01	-4.799085603248515852e+00	1.143460865610859400e+01
-3.548972912165962779e+00	-2.311354796337623529e+00	5.063872362422671358e+00	-1.349623501284774640e+01	-4.742277332966352787e+00	1.130757168294894655e+01
-3.560456625501374539e+00	-2.286368870288134847e+00	4.938750213646244447e+00	-1.351978454174618882e+01	-4.686124747510551636e+00	1.117228305225125951e+01
-3.571817099249604777e+00	-2.262017802221806484e+00	4.809810113974663182e+00	-1.354305527936406683e+01	-4.630666545472107209e+00	1.102974394030479743e+01
-3.583057550176049766e+00	-2.238319194759634811e+00	4.677629723059681055e+00	-1.356605078133746822e+01	-4.575936601082045918e+00	1.088087349795387127e+01
-3.594181275736230141e+00	-2.215287896234186427e+00	4.542738462153238288e+00	-1.358877476097130454e+01	-4.521964435636093071e+00	1.072650383478185177e+01
-3.605191641249307466e+00	-2.192936208493348360e+00	4.405624294457766155e+00	-1.361123106912870817e+01	-4.468775587273855265e+00	1.056739358922732208e+01
-3.616092067536439636e+00	-2.171274107286010668e+00	4.266732611956058463e+00	-1.363342367508492181e+01	-4.416392002144002404e+00	1.040422616845125958e+01
-3.626886019869384636e+00	-2.150309435244333933e+00	4.126471307193924076e+00	-1.365535664952717454e+01	-4.364832372559657614e+00	1.023761959243529418e+01
-3.637576997763571462e+00	-2.130048094226465238e+00	3.985210846301697529e+00	-1.367703414906953796e+01	-4.314112472032920031e+00	1.006812691655204617e+01
-3.648168525744008406e+00	-2.110494216604141382e+00	3.843288928933816351e+00	-1.369846040245909613e+01	-4.264245450679334581e+00	9.896244994456083077e+00
-3.658664144898035708e+00	-2.091650331214718328e+00	3.701010757712310806e+00	-1.371963969818316365e+01	-4.215242118993882237e+00	9.722415277700747538e+00
-3.669067405252561365e+00	-2.073517513671190748e+00	3.558652808684428237e+00	-1.374057637341402227e+01	-4.167111203168930800e+00	9.547030682620061270e+00
-3.679381858883194134e+00	-2.056095531091611583e+00	3.416463629054078410e+00	-1.376127480427108729e+01	-4.119859588222853475e+00	9.370437333442168892e+00
-3.689611053683528485e+00	-2.039382965928510316e+00	3.274668965779369501e+00	-1.378173939704800333e+01	-4.073492525817390408e+00	9.192943134122288029e+00
-3.699758527776721984e+00	-2.023377330150000208e+00	3.133471266809237932e+00	-1.380197458051704729e+01	-4.028013824315900493e+00	9.014817494147109755e+00
-3.709827804345112057e+00	-2.008075196574060417e+00	2.993045430902157023e+00	-1.382198479926382717e+01	-3.983426063553689556e+00	8.836285071565725957e+00
-3.719822387284161813e+00	-1.993472291669195817e+00	2.853555667763430392e+00	-1.384177450803894516e+01	-3.939730746435873954e+00	8.657552869175106025e+00
-3.729745757541716777e+00	-1.979563568851743893e+00	2.715147208898656572e+00	-1.386134816713086515e+01	-3.896928417396801958e+00	8.478797532469570797e+00
-3.739601368913246571e+00	-1.966343317161124871e+00	2.577939579181588670e+00	-1.388071023714620900e+01	-3.855018840248684242e+00	8.300152727500744732e+00
-3.749392644625453741e+00	-1.953805249204818351e+00	2.442047587300521627e+00	-1.389986517499601248e+01	-3.814001140277030633e+00	8.121746804441727363e+00
-3.759122976143929762e+00	-1.941942535176661933e+00	2.307571967807461988e+00	-1.391881743342527855e+01	-3.773873849612395137e+00	7.943685981969565546e+00
-3.768795719806573796e+00	-1.930747886278389780e+00	2.174593500699302240e+00	-1.393757145696270427e+01	-3.734635044537131243e+00	7.766041926329535272e+00
-3.778414192907744606e+00	-1.920213639055274646e+00	2.043187121789287630e+00	-1.395613167678118671e+01	-3.696282488854407688e+00	7.588879394868399686e+00
-3.787981674829679957e+00	-1.910331766095934469e+00	1.913420134231159864e+00	-1.397450251431142831e+01	-3.658813632533262972e+00	7.412252286598913997e+00
-3.797501404617235288e+00	-1.901093936003402041e+00	1.785345429900871750e+00	-1.399268837861478687e+01	-3.622225710023052603e+00	7.236190047954323745e+00
-3.806976577438895504e+00	-1.892491587492686866e+00	1.659007655686764338e+00	-1.401069366184967180e+01	-3.586515867013631897e+00	7.060709394304012676e+00
-3.816410345976682272e+00	-1.884515932125792048e+00	1.534449386080382283e+00	-1.402852274310387948e+01	-3.551681150137929066e+00	6.885825985850260622e+00
-3.825805819206480773e+00	-1.877157992709380441e+00	1.411702942697161234e+00	-1.404617998774643084e+01	-3.517718567204105362e+00	6.711538513113964655e+00
-3.835166059732259658e+00	-1.870408663186531761e+00	1.290791424482677030e+00	-1.406366974434389405e+01	-3.484625187918266587e+00	6.537830565981948894e+00
-3.844494084679698886e+00	-1.864258712730556766e+00	1.171739197886722650e+00	-1.408099634750401208e+01	-3.452398141999971415e+00	6.364689879540264883e+00
