angle	angular_velocity	angular_acceleration
6.043984970226419229e-01	9.853961913108411075e-01	-1.360691964982904345e+00
4.532277172394166276e-01	4.324790724617453286e-01	-4.514526855790562898e+00
4.073545478857903412e-01	1.789317410109179551e+00	-1.318522987164795879e+00
3.887690350283070639e-01	1.258257617288919050e+00	-6.289568684999490955e+00
8.170696900997178602e-01	1.484280643988067361e-01	-7.932623436898006197e+00
5.342859411392187896e-01	2.920169895489083678e-01	-7.681883710526598463e+00
3.863343369309189534e-01	1.425457094975036143e-01	2.628135866136158683e-01
2.579098876295254361e-01	9.019895354989828640e-01	-6.192730242539367325e+00
6.712958568067048937e-01	-9.479522630999764887e-01	-5.208678727480689830e+00
3.662491260490268186e-01	8.090251730655751983e-01	-6.679456485728259452e+00
5.869952096507534689e-01	5.270802703447967641e-01	-4.953610496498629168e+00
7.158263136717116781e-01	-8.284775156021462195e-01	-5.130268837822399952e+00
4.204677322740781875e-01	6.550379766246480218e-01	-3.915592047813738041e+00
8.071965055605165862e-01	6.871434095412238818e-01	-4.375484709941330763e+00
5.989429848398200029e-01	3.221138584109892733e-01	-5.399550863529472444e+00
6.964490653155804845e-01	-2.389878699390407812e-01	-3.766230341902667700e+00
4.781268546043686007e-01	1.395384995354415347e-01	-4.580413725587217044e+00
4.193092813198878721e-01	7.229384302044229438e-01	-3.224560698264588243e+00
5.455184799409923402e-01	-1.097236288869438026e+00	-3.476748154699481397e+00
2.177398724087798998e-01	-2.811587336570144924e-01	-3.555377007252281452e+00
2.279595583744767895e-01	-9.664840874320819175e-01	-2.956468646593081839e+00
6.103402133477883185e-01	-1.455501172498821494e-01	-3.034271277064712002e+00
1.219886894920166331e-01	-5.416414361095072127e-01	-7.263739556325769620e+00
5.883838229361284533e-01	7.908819671981468513e-01	-2.922856191941112680e+00
6.908730367307795994e-01	5.119048687154988952e-01	-4.366988754654833826e+00
9.844895729847515931e-01	-2.250509542162479337e-01	-3.625494448811990456e+00
1.975542204420078218e-01	-3.356447347102900491e-02	-5.065037258188248792e+00
8.484773088053925161e-01	7.058155483544334974e-01	-4.491739313399368605e+00
5.696458275304238095e-01	-4.563917350804969075e-01	-8.589907153727166289e+00
6.851639601372716548e-01	4.616221947864648234e-01	-5.235669975707191170e+00
5.723727350208176468e-01	-2.630633659692965809e-02	-2.985010148525578444e+00
3.683463313344631507e-01	-6.899500617134393110e-01	-3.012634366342389569e+00
