angle	angular_velocity	angular_acceleration
5.782988727669814422e-01	8.640471434831307196e-01	-2.234162682396880761e+00
4.655303395095720109e-01	4.432869156970453695e-01	-4.602607108283037540e+00
4.317046244489536888e-01	1.454826853402904074e+00	-2.208753603489962192e+00
4.183141831741083450e-01	1.050428132881841892e+00	-5.939915282964133958e+00
7.400578273860760614e-01	2.119383903987241691e-01	-7.174812307577143500e+00
5.284575629958908616e-01	3.135001592889500865e-01	-6.989092765754042702e+00
4.179507432606547335e-01	1.952557782467497782e-01	-1.032635063413921195e+00
3.220585742453307976e-01	7.586880781900546822e-01	-5.876088954832686895e+00
6.324934587948910503e-01	-6.349271452167769558e-01	-5.139577924873753645e+00
4.040730198274076201e-01	6.766400919516837309e-01	-6.243921204407739012e+00
5.699663616157029100e-01	4.590099453314143707e-01	-4.950529750561306841e+00
6.668926140008873960e-01	-5.638341612069251996e-01	-5.083750377430601652e+00
4.456457294882459896e-01	5.426237214869299441e-01	-4.173204379180206480e+00
7.359334764489134928e-01	5.605224140748128470e-01	-4.518320950717444440e+00
5.799536134795817421e-01	2.805695431503403836e-01	-5.286303880903465924e+00
6.532625637654734252e-01	-1.464364699095242195e-01	-4.060983826010884812e+00
4.896694162514110826e-01	1.312808934276687434e-01	-4.671029549825520100e+00
4.456738820178899330e-01	5.626570388995193461e-01	-3.653286586681910642e+00
5.404175832858755246e-01	-8.086428873456356081e-01	-3.841313392651140468e+00
2.946396144580605836e-01	-2.027473918725175295e-01	-3.898911438390704198e+00
3.023295845273973881e-01	-7.228965655988025540e-01	-3.448097533143168469e+00
5.891095407786524074e-01	-1.133424411744290289e-01	-3.504558624322156479e+00
2.228096696237213403e-01	-4.165471896573293975e-01	-6.674511490136498360e+00
5.725391519468112644e-01	5.767204821350654376e-01	-3.416443933986048620e+00
6.493086148859682494e-01	3.613754373152902044e-01	-4.496882362355087537e+00
8.693930563347714857e-01	-1.974397139273772195e-01	-3.937845492591905305e+00
2.790331407676465147e-01	-5.990792728455796023e-02	-5.014332091246244794e+00
7.670366948292418607e-01	4.885604946182030006e-01	-4.580934534996952578e+00
5.576940464297741595e-01	-3.891438175444089653e-01	-7.650883506903129572e+00
6.440834250565493635e-01	2.933367867988074806e-01	-5.131276626519635009e+00
5.592106996064394320e-01	-7.861919032514516625e-02	-3.439101463080706189e+00
4.058816088858657189e-01	-5.823400443314923347e-01	-3.455388818357205238e+00
3.634881629221001775e-01	-1.647164509858993209e-01	-4.638162780328855206e+00
5.807233305778151111e-01	-4.151531612726313547e-01	-5.901131918068756477e+00
3.738435718313127820e-01	-9.951667824400491913e-01	-4.448958918624258629e+00
6.427407470872087414e-01	-6.508693964337397553e-03	-3.271897341446914798e+00
6.091454206537504357e-01	-5.539779192131183416e-01	-4.307411262955968212e+00
6.211231657369659098e-01	-5.253858997902445260e-01	-3.410759162716033188e+00
4.361240248499567151e-01	-5.998615697337352781e-01	-1.725040264621322983e+00
5.650702801857316881e-01	-1.307172778570570015e-02	-8.113414994862683471e+00
5.584370492283595722e-01	-3.072739129455088758e-01	-5.014093683230764320e+00
3.517969584069784439e-01	-8.663000539948593204e-01	-4.163613042692675847e+00
5.870996655545042131e-01	1.472072916281058630e-01	-4.988512170546922420e+00
6.141125628325548869e-01	-4.458125176625861164e-01	-5.574406704715045180e+00
8.565946923778244848e-01	-6.039661794380699611e-01	-6.454786703551599558e+00
6.605234826625931976e-01	-5.659649971457788586e-01	-6.855024817604459031e+00
3.707687676952612366e-01	-1.350140004971001950e+00	-6.788500923006099974e+00
5.827471517492547326e-01	-1.446788802637005045e+00	-6.101629182922236438e+00
3.547041969721833055e-01	-6.511999633352625327e-01	-6.004345964224616417e+00
4.236072575804964435e-01	-9.507892546085192631e-01	-3.507211800184290684e+00
2.741745929736742471e-01	-6.230380194412096229e-01	-5.683501740639156807e+00
3.930907740108977588e-01	-5.595905857538144845e-01	-2.522661203567569732e+00
3.196914310281722127e-01	-8.642316783225125754e-01	-7.251461166038428274e+00
2.653942036546517724e-01	-1.366435203820645317e+00	-4.565017159642655642e+00
6.854564125024259491e-01	-1.123086081129150759e+00	-4.977422579090391430e+00
5.271800777757223999e-01	-8.297167755205967499e-01	-4.764348751694827300e+00
4.682033910777461672e-01	-1.248713933944640475e+00	-3.978197857857114883e+00
1.384661721030855386e-01	-1.122041832422196350e+00	-3.355059985021751956e+00
4.091460761772631738e-01	-7.001357932124618877e-01	-3.981626210966143553e+00
3.284011052761259819e-01	-3.256638501319586432e-01	-5.128844515541777227e+00
3.025260182571292145e-01	-1.612862108392342897e+00	-4.691641638961719707e+00
4.471786906291314589e-01	-1.470957964247553651e+00	-4.455633494831148234e+00
3.897554603523641914e-01	-1.416714857967007468e+00	-5.070011807065744058e+00
4.226718284185567165e-01	-7.043541019262551384e-01	-4.856374091360082801e+00
4.298496759091707808e-01	-1.539409694621588054e+00	-5.048494328605380943e+00
2.182703487365243999e-01	-1.235112499879690517e+00	-2.542641664519051048e+00
4.027541598501520603e-01	-2.211609278759837593e+00	-3.288593545911829175e+00
3.764318470549007367e-01	-8.617048402579016164e-01	-5.511594980080713135e+00
2.648441436797058235e-01	-1.388246493967845829e+00	-4.364108694500365537e+00
4.257869944044690436e-01	-1.853738838122323207e+00	-3.275679279042857939e+00
4.328869180764239877e-01	-1.565578371574856797e+00	-2.189137611561148944e+00
2.204306359705439367e-01	-1.163485900125098338e+00	-4.225878299395080973e+00
4.548327499258906781e-01	-1.052639237755783608e+00	-3.679014745136039988e+00
3.041426621756068149e-01	-1.094053925485200862e+00	-3.447784324648486276e+00
3.655948211107002410e-01	-1.667176137551167781e+00	-2.156192340519609285e+00
2.350358869422840002e-01	-1.361586810230723588e+00	-2.973961108060226621e+00
2.178150278114931726e-01	-1.208694369820170422e+00	-4.938799550309423303e+00
3.680030589807293251e-01	-6.389704755268907910e-01	-3.448331127718642808e+00
1.967141905100836252e-01	-1.442319823496452713e+00	-2.633770806381082075e+00
2.583430281813626772e-01	-1.728645178761579082e+00	-2.619346697392795242e+00
7.486091518075099760e-02	-7.878690784388024948e-01	-4.412130028493352896e-01
4.182046848405316930e-01	-1.084588963237999248e+00	2.054927614470649644e-01
4.259554303512575468e-01	-1.720761785189133031e+00	-1.897898769533022501e+00
1.894864738594828624e-01	-2.082599623457537241e-01	-1.901176050800470030e+00
6.259439313913046643e-01	-1.626336919798165859e+00	-1.317245000399287491e+00
5.104075570709477594e-01	-1.284262306241866547e+00	-1.123622930932756780e+00
1.016467709777506279e-01	-1.369021982089274170e+00	-1.566492753448065489e+00
2.932911309091921770e-01	-1.249006118788225761e+00	-1.870104122263951840e+00
3.355378762490114908e-01	-1.125028348110281629e+00	8.998564207196717568e-01
3.738875289423775894e-01	-6.468488070615107111e-01	-1.151812430585634539e+00
2.517176974249030197e-01	-1.259443957841724915e+00	-3.347718847715548840e+00
1.298347813872406942e-01	-1.805732753370385746e+00	-1.842307248811882125e+00
5.576936970024195528e-01	-7.985018620955254276e-01	-2.937810382665171360e+00
2.062734017817576537e-01	-1.368308470633388563e+00	-2.959713530290522421e+00
1.908188677078370421e-01	-1.853939593042068790e+00	6.729007229919079514e-01
1.879440051412642476e-01	-1.533111827782638104e+00	-1.100750398323874446e+00
2.000158446561303982e-01	-1.043443121855733402e+00	-3.081703467882586978e+00
-1.107856413076871438e-02	-1.616144424157947235e+00	-5.527119775967581639e+00
2.047550804459997154e-01	-1.923962086118709225e+00	-3.564344525526342622e+00
2.838180988161932428e-01	-1.413430996049273247e+00	-1.957453438794252154e+00
3.376827239050854690e-01	-1.059640280791651179e+00	-1.029251735277216362e+00
1.076809449829532889e-01	-1.421244648247210307e+00	-6.256136087277948121e-01
2.198496526986116750e-01	-1.804384072108475179e+00	-1.491430753458700131e-01
2.890075885874405781e-01	-2.066824355256517087e+00	5.968031210976321166e-01
-1.005365179731915748e-01	-1.491625694883501607e+00	-1.425305235688009819e+00
-1.292354518900253324e-01	-1.796183396049407577e+00	-7.685403187128447833e-01
2.485683103717360176e-01	-1.277357290555278579e+00	-1.146404076890704005e+00
1.479811375517923466e-01	-1.361271073824889211e+00	-1.839351794805238249e+00
2.648243838433483877e-01	-1.514131934057707962e+00	-2.021488675496926568e+00
3.393876750701352307e-05	-1.516507572251178049e+00	-2.633323628016577267e-01
1.318416735035103649e-01	-1.040602145149929658e+00	-2.947844037800992467e+00
4.578958514187971007e-02	-1.595777273001488528e+00	-1.128304714630750993e+00
1.489007370952080134e-01	-1.101501915521614139e+00	-1.770199185575239698e-01
3.138924798014566808e-02	-1.443548422893646599e+00	-1.401482325251873773e+00
9.110007016670598756e-02	-1.570469072203254379e+00	3.491892640423754912e-02
-2.678819032696778124e-01	-8.881733837527325814e-01	-6.920162828292675261e-01
1.264881889623566957e-01	-2.014243561771452029e+00	2.951490748591128810e+00
1.047133826277606844e-01	-1.983184005292188745e+00	2.001753031589841858e-01
6.931766883772076671e-02	-2.194931149106341017e+00	-2.612043658292203530e-01
-2.991126658778303637e-02	-1.635570473952513426e+00	3.971808496914621678e-01
1.622584050072431172e-01	-1.544964379246210884e+00	1.123368880150606541e+00
3.312255524595439926e-01	-1.728103901046347701e+00	-3.115079413310735124e-01
1.309798942554873113e-01	-1.641674944341416031e+00	2.920415970307427500e+00
4.065443190982255539e-02	-1.321757928188891817e+00	2.162830399082866784e+00
-1.118592387248145970e-01	-8.865047698113205366e-01	-2.017185906099104642e+00
-7.536915575310161597e-02	-1.317049487112599060e+00	-2.727071137882508545e+00
-2.690942551848114483e-01	-2.194375222869567210e+00	-6.399002810927481022e-01
-2.706746400862648505e-01	-1.242771186175885223e+00	1.760776771685600872e+00
-7.023950258059279139e-02	-8.441438479334874012e-01	1.026388780497224484e+00
-6.777849183643690212e-02	-2.225637670103715049e+00	1.945937768529398593e+00
2.592073793455971220e-01	-9.598506188296888064e-01	1.459208998075056218e+00
-3.035872585841453003e-02	-8.337695123476852599e-01	2.534404632533908686e+00
-1.375443191480930638e-01	-6.208638269596761239e-01	1.340322472744381876e-02
-3.773856476686717615e-02	-1.060758549835036924e+00	1.894418518248503602e+00
1.345341745474992745e-01	-1.703692043785333787e+00	-9.929382473258221431e-01
-1.918499553014544612e-01	-2.150899532744039444e+00	3.658196839513150334e-01
3.719884562877234790e-02	-1.415923485205687449e+00	-1.498474653261403500e-01
2.854017674756871570e-02	-2.008399862585782181e+00	2.792765992479992132e+00
-1.480127810684879752e-01	-8.757653684594605137e-01	1.000886440746143080e+00
-1.471341287125902675e-01	-2.227536966809292807e+00	-6.816377676222873383e-01
-1.879298966321077957e-01	-2.542395609207688700e+00	1.913740217251694187e+00
-1.715897760882682810e-02	-1.138297592505391975e+00	1.559373661615663931e-01
-8.654023577820030289e-02	-1.036809879995588268e+00	2.395293929035929192e+00
4.703660801034958983e-02	-9.626476234851495395e-01	8.383070120883795440e-01
-8.539662499896734371e-02	-1.764130350460650032e+00	1.771225969102612208e-01
-1.699109170099976085e-01	-1.480311722327547930e+00	-3.090486456475538546e-01
-1.169846848935957029e-01	-2.151123191511329580e+00	3.815566532086578810e+00
-8.026027983430199242e-02	-1.950227452732866684e+00	4.344351160696813707e+00
-4.517942908112023703e-01	-8.855239561167890239e-01	3.130631123924128012e-01
-2.828155155189926995e-01	-1.099530884596512603e+00	6.624432314940220667e-01
-3.206985865379162748e-01	-1.541083499522973188e+00	3.063414719903485128e+00
2.330867858355382960e-01	-1.401078524232074907e+00	-6.570560219420849002e-01
-2.792501326340584011e-01	-6.993459000704824735e-01	2.203207125137799149e+00
-3.059436551825788220e-01	-1.852587874592413364e+00	9.986576559598847602e-01
-9.006565367814822753e-02	-8.556889327067971340e-01	2.206181833542144588e+00
-4.556244528853717890e-01	-1.530915353627493536e+00	4.131489447266863735e+00
-1.865052195825123438e-01	-1.411160294844378438e+00	2.183731144866911666e+00
-5.050042980817287530e-02	-1.612729326380685002e+00	4.017344954026432546e+00
-1.594333866312689363e-01	-1.821649992838210164e+00	2.562804541425559357e+00
-6.736660028360164088e-02	-9.430828903976372635e-01	3.896152501236989529e+00
-9.163114609924374876e-02	-2.404377806938961193e+00	4.196469241505649705e+00
-2.943622001181581682e-01	-1.163891459467241152e+00	4.370085276909732031e+00
-2.811048698719444960e-01	-1.380541728160447290e+00	5.162940189530239365e+00
-4.917732910666877677e-01	-1.222213555899318127e+00	9.228577687016019659e-01
-3.450211028893366283e-01	-8.723097047463233000e-01	7.649178688827276140e-01
-4.018419386656965631e-02	-1.188500039805453712e+00	2.726235954768801761e+00
-4.869508286909915995e-01	-1.016783844055634045e+00	3.950305901500909656e+00
-2.437586083158545525e-01	-7.640660027440813185e-01	6.671674714430282371e-01
-2.940581496233354852e-01	-1.717329613115337494e+00	3.842561367762246327e+00
-2.141388760796417712e-01	-1.388293733168349142e+00	4.300091820514161611e+00
-3.954197956661781310e-01	-1.090446906113518466e+00	2.483133708434913878e+00
-3.925069693076589927e-01	-1.796202608602186057e+00	3.377074997949072177e-01
-2.758159492241341604e-01	-1.413061407724117258e+00	4.029651555285632902e+00
-3.741015101754908145e-01	-1.040812962009839193e+00	2.797594180511500994e+00
-3.459796230562530162e-01	-1.059912660916361604e+00	1.634605202421857362e+00
-4.021992457871348403e-02	-7.770205537644385707e-01	1.767381862645321933e+00
7.029634051343724988e-02	-1.407151444346626423e+00	5.403511156135395233e+00
-4.177438718105469517e-02	-2.150482990284481311e+00	5.511452353014558270e+00
-2.082991073096276124e-01	-9.092442373740430295e-01	2.227079064539349229e+00
-2.400450602679885526e-01	-1.221675808893186277e+00	4.395516834403222717e+00
-2.887679317525362888e-01	-8.875727348717520337e-01	5.906373146791434436e+00
-3.440528732351240682e-01	-1.337709972147415494e+00	4.218434827774337315e+00
-4.042876304618152616e-01	-5.214866756881604282e-01	2.045207299861498740e+00
-3.160949445372689404e-01	-9.319639791706455512e-01	4.387393484759524398e+00
-1.950516124362756676e-01	-9.281261712340438397e-01	4.433900950198434110e+00
-6.085180996446982737e-01	-7.507668699586078631e-01	2.859685037268472563e+00
-4.599567954938547087e-01	-6.164255301455112690e-01	2.980120795026314440e+00
-4.555102749592694344e-01	-6.357910949248642973e-01	4.775411710751669148e+00
-5.820237913252377382e-01	1.091068583599144048e-01	4.261286311237449276e+00
-5.526245796518272080e-01	-4.666215198941794928e-01	5.607121793936190812e+00
-4.256112851330318136e-01	-9.403504358044426636e-01	2.779325137211180241e+00
-2.150040950121551164e-01	-4.462337113632839358e-01	3.348256866667803422e+00
-2.932573100768989804e-01	-1.899038856625440808e+00	2.703921810303262951e+00
-1.709063402340699755e-01	-3.333074926666100835e-01	3.027480601810381700e+00
-3.809690810156070029e-01	5.003231619113529538e-01	3.875073637042653285e+00
-7.021627650280861666e-01	-5.811757998309201589e-01	4.920896633291118150e+00
