angle	angular_velocity	angular_acceleration
5.000000000000000000e-01	5.000000000000000000e-01	-4.854574834638810898e+00
5.024382063200382165e-01	4.757104454029456586e-01	-4.866847865760462355e+00
5.047548541384437870e-01	4.513551832840783096e-01	-4.879445452465461130e+00
5.069496276115122990e-01	4.269396796606110822e-01	-4.890955076858062966e+00
5.090222392451506650e-01	4.024693683984762460e-01	-4.901378919614558072e+00
5.109724285659071885e-01	3.779496685090750763e-01	-4.910719931436375418e+00
5.127999622498619070e-01	3.533859844944881590e-01	-4.918981013496534160e+00
5.145046340927469375e-01	3.287837062632709695e-01	-4.926165091712647381e+00
5.160862647594495201e-01	3.041482084328209767e-01	-4.932275517052943314e+00
5.175447011625500249e-01	2.794848486100096618e-01	-4.937315360446177692e+00
5.188798175105513444e-01	2.547989702912671350e-01	-4.941287512749340749e+00
5.200915149884145494e-01	2.300959019787369442e-01	-4.944194996255205865e+00
5.211797211307495070e-01	2.053809560737759332e-01	-4.946041373279612685e+00
5.221443891141044347e-01	1.806594276755800477e-01	-4.946829673045783693e+00
5.229854993988669598e-01	1.559365973683938256e-01	-4.946562933025447251e+00
5.237030591151524694e-01	1.312177301790252437e-01	-4.945244278335536592e+00
5.242971011925385838e-01	1.065080751043504248e-01	-4.942877022540429266e+00
5.247676841118962265e-01	8.181286498480888625e-02	-4.939464251933877392e+00
5.251148933205249669e-01	5.713731722577097827e-02	-4.935009106506118570e+00
5.253388406059026350e-01	3.248663348097313025e-02	-4.929514731805973327e+00
5.254396629861590728e-01	7.865999901035002073e-03	-4.922984192793428804e+00
5.254175230712448963e-01	-1.671941294806977840e-02	-4.915420666094490798e+00
5.252726100188352953e-01	-4.126445030079611831e-02	-4.906827291568685467e+00
5.250051389788599199e-01	-6.576397305417813755e-02	-4.897207160120856884e+00
5.246153493515341992e-01	-9.021285688533584035e-02	-4.886563185455848668e+00
5.241035063848313857e-01	-1.146059930607651739e-01	-4.874898623931649411e+00
5.234699017445626490e-01	-1.389382887251447429e-01	-4.862216590420231910e+00
5.227148529007896727e-01	-1.632046665904884342e-01	-4.848520199789703611e+00
5.218387031278249877e-01	-1.874000649361451665e-01	-4.833812566431021196e+00
5.208418198143823785e-01	-2.115194371641643256e-01	-4.818096578956968301e+00
5.197245933633044546e-01	-2.355577515097915242e-01	-4.801375406746089425e+00
5.184874415400733128e-01	-2.595099921856517389e-01	-4.783652174401652246e+00
5.171308075352730738e-01	-2.833711588719434737e-01	-4.764929974212549268e+00
5.156551599148651022e-01	-3.071362667033545879e-01	-4.745211898467516676e+00
5.140609921069695387e-01	-3.308003466201390741e-01	-4.724501342397360304e+00
5.123488192981382472e-01	-3.543584474912748750e-01	-4.702801662742587041e+00
5.105191830880994042e-01	-3.778056329303056127e-01	-4.680115771575486860e+00
5.085726505089160909e-01	-4.011369819663014868e-01	-4.656446817774138935e+00
5.065098135545920144e-01	-4.243475893656409315e-01	-4.631797950216423487e+00
5.043312891435082213e-01	-4.474325657176727034e-01	-4.606172596116124396e+00
5.020377160591457111e-01	-4.703870444113184002e-01	-4.579575943304831753e+00
4.996297572770015960e-01	-4.932061763286003098e-01	-4.552010115075717067e+00
4.971081016144477394e-01	-5.158851260821826212e-01	-4.523478447383524781e+00
4.944734624179678018e-01	-5.384190750090928068e-01	-4.493984286606064416e+00
4.917265775631571301e-01	-5.608032211707217884e-01	-4.463530979121344444e+00
4.888682082465486967e-01	-5.830327842670235405e-01	-4.432124638873290223e+00
4.858991371912470547e-01	-6.051030129350271070e-01	-4.399768813626337760e+00
4.828201724752722579e-01	-6.270091691772007314e-01	-4.366466830331432902e+00
