No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
69,1.3600000e-03,-4.4324538e+01,1.6260254e-01,-2.2396283e+00
70,1.3800000e-03,-4.5141537e+01,1.4092188e-01,-2.2377675e+00
71,1.4000000e-03,-4.5957405e+01,1.2063633e-01,-2.2345818e+00
72,1.4200000e-03,-4.6772136e+01,1.0178417e-01,-2.2304070e+00
73,1.4400000e-03,-4.7585780e+01,8.4278947e-02,-2.2253862e+00
74,1.4600000e-03,-4.8398396e+01,6.8035316e-02,-2.2196048e+00
75,1.4800000e-03,-4.9210008e+01,5.2967287e-02,-2.2131242e+00
76,1.5000000e-03,-5.0020598e+01,3.8987691e-02,-2.2059919e+00
77,1.5200000e-03,-5.0830121e+01,2.6012764e-02,-2.1982477e+00
78,1.5400000e-03,-5.1638529e+01,1.3966368e-02,-2.1899270e+00
79,1.5600000e-03,-5.2445780e+01,2.7819963e-03,-2.1810626e+00
80,1.5800000e-03,-5.3251850e+01,-7.5972454e-03,-2.1716859e+00
81,1.6000000e-03,-5.4056731e+01,-1.7219907e-02,-2.1618273e+00
82,1.6200000e-03,-5.4860317e+01,-2.5503448e-02,-2.1527780e+00
83,1.6400000e-03,-5.5662574e+01,-3.3285674e-02,-2.1436549e+00
84,1.6600000e-03,-5.6463529e+01,-4.0688059e-02,-2.1342098e+00
85,1.6800000e-03,-5.7263243e+01,-4.7698113e-02,-2.1243822e+00
86,1.7000000e-03,-5.8061786e+01,-5.4293239e-02,-2.1141671e+00
87,1.7200000e-03,-5.8859225e+01,-6.0459485e-02,-2.1035771e+00
88,1.7400000e-03,-5.9655620e+01,-6.6190853e-02,-2.0926309e+00
89,1.7600000e-03,-6.0451023e+01,-7.1486873e-02,-2.0813487e+00
90,1.7800000e-03,-6.1245481e+01,-7.6349970e-02,-2.0697520e+00
91,1.8000000e-03,-6.2039031e+01,-8.0785270e-02,-2.0578625e+00
92,1.8200000e-03,-6.2831711e+01,-8.4799996e-02,-2.0457015e+00
93,1.8400000e-03,-6.3623552e+01,-8.8402917e-02,-2.0332893e+00
94,1.8600000e-03,-6.4414700e+01,-9.2217987e-02,-2.0194019e+00
95,1.8800000e-03,-6.5205258e+01,-9.5456686e-02,-2.0049748e+00
96,1.9000000e-03,-6.5995248e+01,-9.8051335e-02,-1.9902907e+00
97,1.9200000e-03,-6.6784657e+01,-1.0005858e-01,-1.9754482e+00
98,1.9400000e-03,-6.7573464e+01,-1.0154099e-01,-1.9604918e+00
99,1.9600000e-03,-6.8361652e+01,-1.0255048e-01,-1.9454477e+00
100,1.9800000e-03,-6.9149212e+01,-1.0312947e-01,-1.9303340e+00
101,2.0000000e-03,-6.9936142e+01,-1.0331330e-01,-1.9151652e+00
102,2.0200000e-03,-7.0722447e+01,-1.0313201e-01,-1.8999535e+00
103,2.0400000e-03,-7.1508133e+01,-1.0261191e-01,-1.8847085e+00
104,2.0600000e-03,-7.2293210e+01,-1.0177523e-01,-1.8694393e+00
105,2.0800000e-03,-7.3077689e+01,-1.0064086e-01,-1.8541553e+00
106,2.1000000e-03,-7.3861581e+01,-9.9225484e-02,-1.8388659e+00
107,2.1200000e-03,-7.4644898e+01,-9.7544002e-02,-1.8235799e+00
108,2.1400000e-03,-7.5427537e+01,-9.5022963e-02,-1.8094941e+00
109,2.1600000e-03,-7.6209417e+01,-9.2443070e-02,-1.7957317e+00
110,2.1800000e-03,-7.6990553e+01,-8.9887237e-02,-1.7820512e+00
111,2.2000000e-03,-7.7771001e+01,-8.7321143e-02,-1.7683841e+00
112,2.2200000e-03,-7.8550821e+01,-8.4704644e-02,-1.7547117e+00
113,2.2400000e-03,-7.9330066e+01,-8.2006920e-02,-1.7410319e+00
114,2.2600000e-03,-8.0108778e+01,-7.9205562e-02,-1.7273487e+00
115,2.2800000e-03,-8.0886990e+01,-7.6284402e-02,-1.7136691e+00
116,2.3000000e-03,-8.1664724e+01,-7.3231968e-02,-1.7000010e+00
117,2.3200000e-03,-8.2441998e+01,-7.0040438e-02,-1.6863524e+00
118,2.3400000e-03,-8.3218825e+01,-6.6704876e-02,-1.6727315e+00
119,2.3600000e-03,-8.3995213e+01,-6.3222619e-02,-1.6591461e+00
120,2.3800000e-03,-8.4771170e+01,-5.9592784e-02,-1.6456035e+00
121,2.4000000e-03,-8.5546700e+01,-5.5815857e-02,-1.6321107e+00
122,2.4200000e-03,-8.6321922e+01,-5.2460650e-02,-1.6175277e+00
123,2.4400000e-03,-8.7096948e+01,-4.8779915e-02,-1.6027299e+00
124,2.4600000e-03,-8.7871771e+01,-4.4713479e-02,-1.5879570e+00
125,2.4800000e-03,-8.8646345e+01,-4.0309508e-02,-1.5732833e+00
126,2.5000000e-03,-8.9420612e+01,-3.5619190e-02,-1.5587373e+00
127,2.5200000e-03,-9.0194525e+01,-3.0684386e-02,-1.5443320e+00
128,2.5400000e-03,-9.0968046e+01,-2.5538653e-02,-1.5300740e+00
129,2.5600000e-03,-9.1741148e+01,-2.0209125e-02,-1.5159671e+00
130,2.5800000e-03,-9.2513810e+01,-1.4717898e-02,-1.5020137e+00
131,2.6000000e-03,-9.3286019e+01,-9.0830372e-03,-1.4882154e+00
132,2.6200000e-03,-9.4057764e+01,-3.3193741e-03,-1.4745739e+00
133,2.6400000e-03,-9.4829038e+01,2.5608408e-03,-1.4610908e+00
134,2.6600000e-03,-9.5599832e+01,8.5473954e-03,-1.4477676e+00
135,2.6800000e-03,-9.6370142e+01,1.4631675e-02,-1.4346059e+00
136,2.7000000e-03,-9.7139962e+01,2.0806306e-02,-1.4216074e+00
137,2.7200000e-03,-9.7909286e+01,2.7064883e-02,-1.4087738e+00
138,2.7400000e-03,-9.8678111e+01,3.3401745e-02,-1.3961067e+00
139,2.7600000e-03,-9.9446316e+01,4.0343027e-02,-1.3846786e+00
140,2.7800000e-03,-1.0021378e+02,4.7180347e-02,-1.3736731e+00
141,2.8000000e-03,-1.0098050e+02,5.3852186e-02,-1.3628753e+00
142,2.8200000e-03,-1.0174652e+02,6.0396345e-02,-1.3522228e+00
143,2.8400000e-03,-1.0251190e+02,6.6854092e-02,-1.3416959e+00
144,2.8600000e-03,-1.0327668e+02,7.1698786e-02,-1.3314476e+00
145,2.8800000e-03,-1.0404093e+02,7.6554567e-02,-1.3213804e+00
146,2.9000000e-03,-1.0480466e+02,8.1651685e-02,-1.3114546e+00
147,2.9200000e-03,-1.0556789e+02,8.6977451e-02,-1.3016537e+00
148,2.9400000e-03,-1.0633060e+02,9.2492958e-02,-1.2919732e+00
149,2.9600000e-03,-1.0709277e+02,9.8166593e-02,-1.2824144e+00
150,2.9800000e-03,-1.0785440e+02,1.0397490e-01,-1.2729808e+00
151,3.0000000e-03,-1.0861547e+02,1.0989966e-01,-1.2636767e+00
152,3.0200000e-03,-1.0937596e+02,1.1592586e-01,-1.2545062e+00
153,3.0400000e-03,-1.1013587e+02,1.2204061e-01,-1.2454729e+00
154,3.0600000e-03,-1.1089518e+02,1.2823270e-01,-1.2365803e+00
155,3.0800000e-03,-1.1165388e+02,1.3449230e-01,-1.2278311e+00
156,3.1000000e-03,-1.1241196e+02,1.4081081e-01,-1.2192280e+00
157,3.1200000e-03,-1.1316941e+02,1.4718068e-01,-1.2107734e+00
158,3.1400000e-03,-1.1392622e+02,1.5359526e-01,-1.2024696e+00
159,3.1600000e-03,-1.1468248e+02,1.5955550e-01,-1.1933219e+00
160,3.1800000e-03,-1.1543832e+02,1.6571781e-01,-1.1841061e+00
161,3.2000000e-03,-1.1619370e+02,1.7212453e-01,-1.1750190e+00
162,3.2200000e-03,-1.1694856e+02,1.7873038e-01,-1.1661188e+00
163,3.2400000e-03,-1.1770284e+02,1.8548865e-01,-1.1574255e+00
164,3.2600000e-03,-1.1845648e+02,1.9236118e-01,-1.1489456e+00
165,3.2800000e-03,-1.1920943e+02,1.9931757e-01,-1.1406808e+00
166,3.3000000e-03,-1.1996166e+02,2.0633363e-01,-1.1326304e+00
167,3.3200000e-03,-1.2071314e+02,2.1339019e-01,-1.1247927e+00
168,3.3400000e-03,-1.2146385e+02,2.2047207e-01,-1.1171659e+00
169,3.3600000e-03,-1.2221376e+02,2.2756724e-01,-1.1097483e+00
170,3.3800000e-03,-1.2296288e+02,2.3466615e-01,-1.1025382e+00
171,3.4000000e-03,-1.2371117e+02,2.4176116e-01,-1.0955344e+00
172,3.4200000e-03,-1.2445864e+02,2.4884606e-01,-1.0887356e+00
173,3.4400000e-03,-1.2520527e+02,2.5591534e-01,-1.0821396e+00
174,3.4600000e-03,-1.2595104e+02,2.6296496e-01,-1.0757454e+00
175,3.4800000e-03,-1.2669594e+02,2.6999152e-01,-1.0695519e+00
176,3.5000000e-03,-1.2743997e+02,2.7699201e-01,-1.0635583e+00
177,3.5200000e-03,-1.2818311e+02,2.8396371e-01,-1.0577640e+00
178,3.5400000e-03,-1.2892535e+02,2.9090413e-01,-1.0521682e+00
179,3.5600000e-03,-1.2966668e+02,2.9781099e-01,-1.0467703e+00
180,3.5800000e-03,-1.3040709e+02,3.0468217e-01,-1.0415696e+00
