No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
69,1.3600000e-03,-4.0937857e+04,-1.1512313e+03,-5.0367756e+01
70,1.3800000e-03,-4.0879220e+04,-1.1064776e+03,4.4108430e+01
71,1.4000000e-03,-4.0821999e+04,-1.0450564e+03,1.1974470e+02
72,1.4200000e-03,-4.0765006e+04,-9.7680359e+02,1.7790453e+02
73,1.4400000e-03,-4.0709774e+04,-9.0915503e+02,2.2547515e+02
74,1.4600000e-03,-4.0657109e+04,-8.4455287e+02,2.6666523e+02
75,1.4800000e-03,-4.0606086e+04,-7.8383243e+02,3.0368600e+02
76,1.5000000e-03,-4.0555003e+04,-7.2731144e+02,3.3772992e+02
77,1.5200000e-03,-4.0502429e+04,-6.7498242e+02,3.6945571e+02
78,1.5400000e-03,-4.0447706e+04,-6.2658857e+02,3.9923072e+02
79,1.5600000e-03,-4.0390920e+04,-5.8172331e+02,4.2726127e+02
80,1.5800000e-03,-4.0332624e+04,-5.3993069e+02,4.5366391e+02
81,1.6000000e-03,-4.0273556e+04,-5.0078057e+02,4.7850955e+02
82,1.6200000e-03,-4.0210721e+04,-4.4309318e+02,4.5979844e+02
83,1.6400000e-03,-4.0145456e+04,-4.0715354e+02,4.5600479e+02
84,1.6600000e-03,-4.0080311e+04,-3.8251223e+02,4.6545818e+02
85,1.6800000e-03,-4.0017230e+04,-3.6122074e+02,4.8134323e+02
86,1.7000000e-03,-3.9957162e+04,-3.4029257e+02,4.9953818e+02
87,1.7200000e-03,-3.9900333e+04,-3.1902044e+02,5.1808184e+02
88,1.7400000e-03,-3.9846594e+04,-2.9743377e+02,5.3611955e+02
89,1.7600000e-03,-3.9795640e+04,-2.7572650e+02,5.5331936e+02
90,1.7800000e-03,-3.9747112e+04,-2.5405992e+02,5.6951793e+02
91,1.8000000e-03,-3.9700712e+04,-2.3257771e+02,5.8465935e+02
92,1.8200000e-03,-3.9656212e+04,-2.1139772e+02,5.9874271e+02
93,1.8400000e-03,-3.9613434e+04,-1.9061075e+02,6.1179315e+02
94,1.8600000e-03,-3.9576079e+04,-1.9075334e+02,6.6530106e+02
95,1.8800000e-03,-3.9543948e+04,-1.7158840e+02,7.0110986e+02
96,1.9000000e-03,-3.9514309e+04,-1.4373164e+02,7.2159949e+02
97,1.9200000e-03,-3.9485059e+04,-1.1486594e+02,7.3369070e+02
98,1.9400000e-03,-3.9455239e+04,-8.7749007e+01,7.4149906e+02
99,1.9600000e-03,-3.9424672e+04,-6.2946098e+01,7.4701279e+02
100,1.9800000e-03,-3.9393554e+04,-4.0327970e+01,7.5115282e+02
101,2.0000000e-03,-3.9362188e+04,-1.9616612e+01,7.5435500e+02
102,2.0200000e-03,-3.9330866e+04,-5.4157854e-01,7.5683602e+02
103,2.0400000e-03,-3.9299818e+04,1.7110551e+01,7.5875753e+02
104,2.0600000e-03,-3.9269176e+04,3.3547567e+01,7.6018875e+02
