No,TIME,Pos_TX@StRq1,Pos_TY@StRq1,Pos_TZ@StRq1
71,1.4000000e-03,1.2472914e+01,-4.2998943e+01,1.1499830e+02
72,1.4200000e-03,1.2471987e+01,-4.2998941e+01,1.1499826e+02
73,1.4400000e-03,1.2471043e+01,-4.2998939e+01,1.1499821e+02
74,1.4600000e-03,1.2470083e+01,-4.2998938e+01,1.1499817e+02
75,1.4800000e-03,1.2469107e+01,-4.2998936e+01,1.1499812e+02
76,1.5000000e-03,1.2468115e+01,-4.2998936e+01,1.1499808e+02
77,1.5200000e-03,1.2467106e+01,-4.2998935e+01,1.1499804e+02
78,1.5400000e-03,1.2466082e+01,-4.2998934e+01,1.1499799e+02
79,1.5600000e-03,1.2465041e+01,-4.2998934e+01,1.1499795e+02
80,1.5800000e-03,1.2463984e+01,-4.2998934e+01,1.1499791e+02
81,1.6000000e-03,1.2462911e+01,-4.2998935e+01,1.1499786e+02
82,1.6200000e-03,1.2461822e+01,-4.2998935e+01,1.1499782e+02
83,1.6400000e-03,1.2460716e+01,-4.2998936e+01,1.1499778e+02
84,1.6600000e-03,1.2459595e+01,-4.2998936e+01,1.1499773e+02
85,1.6800000e-03,1.2458458e+01,-4.2998937e+01,1.1499769e+02
86,1.7000000e-03,1.2457305e+01,-4.2998938e+01,1.1499765e+02
87,1.7200000e-03,1.2456135e+01,-4.2998939e+01,1.1499761e+02
88,1.7400000e-03,1.2454950e+01,-4.2998941e+01,1.1499756e+02
89,1.7600000e-03,1.2453749e+01,-4.2998942e+01,1.1499752e+02
90,1.7800000e-03,1.2452532e+01,-4.2998943e+01,1.1499748e+02
91,1.8000000e-03,1.2451299e+01,-4.2998945e+01,1.1499744e+02
92,1.8200000e-03,1.2450051e+01,-4.2998947e+01,1.1499740e+02
93,1.8400000e-03,1.2448786e+01,-4.2998948e+01,1.1499736e+02
94,1.8600000e-03,1.2447506e+01,-4.2998950e+01,1.1499732e+02
95,1.8800000e-03,1.2446210e+01,-4.2998952e+01,1.1499728e+02
96,1.9000000e-03,1.2444898e+01,-4.2998954e+01,1.1499724e+02
97,1.9200000e-03,1.2443570e+01,-4.2998956e+01,1.1499720e+02
98,1.9400000e-03,1.2442226e+01,-4.2998958e+01,1.1499716e+02
99,1.9600000e-03,1.2440867e+01,-4.2998960e+01,1.1499712e+02
100,1.9800000e-03,1.2439492e+01,-4.2998962e+01,1.1499708e+02
101,2.0000000e-03,1.2438101e+01,-4.2998964e+01,1.1499704e+02
102,2.0200000e-03,1.2436694e+01,-4.2998966e+01,1.1499700e+02
103,2.0400000e-03,1.2435272e+01,-4.2998968e+01,1.1499697e+02
104,2.0600000e-03,1.2433834e+01,-4.2998970e+01,1.1499693e+02
105,2.0800000e-03,1.2432380e+01,-4.2998972e+01,1.1499689e+02
106,2.1000000e-03,1.2430911e+01,-4.2998974e+01,1.1499685e+02
107,2.1200000e-03,1.2429426e+01,-4.2998976e+01,1.1499682e+02
108,2.1400000e-03,1.2427925e+01,-4.2998978e+01,1.1499678e+02
109,2.1600000e-03,1.2426409e+01,-4.2998980e+01,1.1499675e+02
110,2.1800000e-03,1.2424877e+01,-4.2998982e+01,1.1499671e+02
111,2.2000000e-03,1.2423329e+01,-4.2998984e+01,1.1499667e+02
112,2.2200000e-03,1.2421766e+01,-4.2998985e+01,1.1499664e+02
113,2.2400000e-03,1.2420187e+01,-4.2998987e+01,1.1499660e+02
114,2.2600000e-03,1.2418593e+01,-4.2998989e+01,1.1499657e+02
115,2.2800000e-03,1.2416983e+01,-4.2998990e+01,1.1499653e+02
116,2.3000000e-03,1.2415357e+01,-4.2998992e+01,1.1499650e+02
